==================================================================
fastsimcoal started on 26/06/2025 at 15:32:23

TMRCAs per non-recombining segment
Locus	Segment_length	Data_Type	Time_(gen)	deme	Num_Mutations
0	1	data unknown	297.859	0	0
1	1	data unknown	862.976	0	0
2	1	data unknown	1335.59	0	0
3	1	data unknown	1237.06	0	0
4	1	data unknown	1580.17	0	0
5	1	data unknown	536.148	0	0
6	1	data unknown	145.66	0	0
7	1	data unknown	630.722	0	0
8	1	data unknown	2065.97	0	0
9	1	data unknown	2585.02	0	0
10	1	data unknown	1862.67	0	0
11	1	data unknown	1384.36	0	0
12	1	data unknown	1622.64	0	0
13	1	data unknown	524.292	0	0
14	1	data unknown	1972.93	0	0
15	1	data unknown	292.709	0	0
16	1	data unknown	1057.17	0	0
17	1	data unknown	2101.38	0	0
18	1	data unknown	2685.62	0	0
19	1	data unknown	1225.76	0	0
20	1	data unknown	2479.21	0	0
21	1	data unknown	2983.56	0	0
22	1	data unknown	1601.56	0	0
23	1	data unknown	689.575	0	0
24	1	data unknown	270.149	0	0
25	1	data unknown	2236.84	0	0
26	1	data unknown	1384.57	0	0
27	1	data unknown	1179.81	0	0
28	1	data unknown	1287.73	0	0
29	1	data unknown	866.76	0	0
30	1	data unknown	1014.01	0	0
31	1	data unknown	1012.45	0	0
32	1	data unknown	367.264	0	0
33	1	data unknown	1026.36	0	0
34	1	data unknown	319.023	0	0
35	1	data unknown	646.362	0	0
36	1	data unknown	3040.2	0	0
37	1	data unknown	2603.63	0	0
38	1	data unknown	2332.18	0	0
39	1	data unknown	632.027	0	0
40	1	data unknown	3744.58	0	0
41	1	data unknown	1827.51	0	0
42	1	data unknown	837.28	0	0
43	1	data unknown	1226.57	0	0
44	1	data unknown	528.435	0	0
45	1	data unknown	1583.74	0	0
46	1	data unknown	1682.85	0	0
47	1	data unknown	466.759	0	0
48	1	data unknown	1071	0	0
49	1	data unknown	815.468	0	0
50	1	data unknown	2868.64	0	0
51	1	data unknown	2480.12	0	0
52	1	data unknown	187.592	0	0
53	1	data unknown	864.029	0	0
54	1	data unknown	1692.55	0	0
55	1	data unknown	1674.54	0	0
56	1	data unknown	2016.75	0	0
57	1	data unknown	2.68555	0	0
58	1	data unknown	3858.76	0	0
59	1	data unknown	2171.1	0	0
60	1	data unknown	312.271	0	0
61	1	data unknown	2052.43	0	0
62	1	data unknown	2032.78	0	0
63	1	data unknown	2010.43	0	0
64	1	data unknown	853.981	0	0
65	1	data unknown	408.89	0	0
66	1	data unknown	1219.01	0	0
67	1	data unknown	522.026	0	0
68	1	data unknown	146.622	0	0
69	1	data unknown	886.314	0	0
70	1	data unknown	2013.46	0	0
71	1	data unknown	259.377	0	0
72	1	data unknown	446.205	0	0
73	1	data unknown	2974.04	0	0
74	1	data unknown	91.8732	0	0
75	1	data unknown	1310.91	0	0
76	1	data unknown	456.841	0	0
77	1	data unknown	2388.89	0	0
78	1	data unknown	2684.06	0	0
79	1	data unknown	1407.78	0	0
80	1	data unknown	987.137	0	0
81	1	data unknown	121.429	0	0
82	1	data unknown	1460.16	0	0
83	1	data unknown	753.372	0	0
84	1	data unknown	463.692	0	0
85	1	data unknown	4358.53	0	0
86	1	data unknown	2042.82	0	0
87	1	data unknown	284.126	0	0
88	1	data unknown	984.261	0	0
89	1	data unknown	1125.19	0	0
90	1	data unknown	2692.5	0	0
91	1	data unknown	3412.86	0	0
92	1	data unknown	1472.09	0	0
93	1	data unknown	1315.9	0	0
94	1	data unknown	715.073	0	0
95	1	data unknown	2030.14	0	0
96	1	data unknown	2159.21	0	0
97	1	data unknown	302.345	0	0
98	1	data unknown	1605.17	0	0
99	1	data unknown	2227.24	0	0
100	1	data unknown	2008.66	0	0
101	1	data unknown	2017.23	0	0
